"country";"election_year";"age";"gender";"men";"education";"unemployed";"blue_collar";"household";"rural";"gov_perform";"diss_dem";"diss_econ";"democrats";"lrself";"trust_pol";"vote_fn"
"1";"France";2002;34;"Female";0;3;0;0;6;0;6;"7";6;3;6;5;0
"2";"France";2002;68;"Female";0;1;0;0;NA;1;6;"5";7;NA;6;5;NA
"3";"France";2002;16;"Male";1;2;0;NA;9;0;5;"7";4;1;5;6;NA
"4";"France";2002;68;"Female";0;1;0;0;4;1;6;"6";6;4;8;4;0
"5";"France";2002;67;"Female";0;2;0;0;6;0;1;"4";1;2;1;4;0
"6";"France";2002;56;"Female";0;3;0;0;9;0;7;"5";6;2;2;6;0
"7";"France";2002;52;"Male";1;3;0;NA;2;0;3;"4";3;5;8;7;NA
"8";"France";2002;51;"Male";1;1;1;1;4;0;7;"9";7;4;4;7;NA
"9";"France";2002;58;"Male";1;5;0;0;9;0;3;"4";3;1;3;3;0
"10";"France";2002;21;"Male";1;3;0;0;NA;1;9;"9";5;3;6;7;0
"11";"France";2002;78;"Male";1;1;0;0;NA;0;7;"8";6;2;NA;6;NA
"12";"France";2002;53;"Male";1;2;1;0;6;0;8;"4";7;1;NA;4;0
"13";"France";2002;72;"Female";0;1;0;0;4;0;8;"7";5;3;9;6;NA
"14";"France";2002;39;"Female";0;3;0;0;7;0;5;"4";6;2;6;1;NA
"15";"France";2002;43;"Female";0;3;1;0;5;0;5;"1";3;4;6;1;1
"16";"France";2002;60;"Female";0;5;0;0;6;1;6;"9";4;3;6;3;0
"17";"France";2002;47;"Male";1;2;0;0;NA;0;6;"3";6;2;5;1;NA
"18";"France";2002;15;"Male";1;2;0;NA;NA;0;8;"10";7;3;NA;6;NA
"19";"France";2002;28;"Female";0;5;0;1;5;0;4;"8";6;4;5;4;0
"20";"France";2002;34;"Male";1;3;1;0;6;0;6;"6";5;2;8;6;1
"21";"France";2002;37;"Female";0;2;1;0;8;0;8;"8";5;1;5;5;0
"22";"France";2002;82;"Male";1;1;0;1;NA;0;6;"8";4;1;6;1;NA
"23";"France";2002;51;"Male";1;3;1;0;NA;1;3;"8";4;1;2;7;NA
"24";"France";2002;18;"Male";1;2;0;1;NA;0;10;"6";7;1;6;7;NA
"25";"France";2002;69;"Male";1;1;0;1;7;1;6;"9";3;2;4;4;0
"26";"France";2002;24;"Male";1;3;1;1;8;0;6;"6";6;3;5;2;NA
"27";"France";2002;84;"Female";0;NA;0;1;NA;0;NA;NA;4;NA;6;6;NA
"28";"France";2002;40;"Female";0;1;1;0;4;0;6;"7";6;4;6;6;NA
"29";"France";2002;41;"Female";0;3;1;0;7;0;4;"4";4;1;5;4;0
"30";"France";2002;83;"Male";1;1;0;0;4;1;4;"9";NA;2;3;4;0
"31";"France";2002;32;"Male";1;3;0;1;8;0;5;"5";7;3;8;6;NA
"32";"France";2002;68;"Female";0;1;0;0;6;0;4;NA;3;3;5;6;0
"33";"France";2002;32;"Female";0;5;0;0;9;1;5;"8";3;2;9;5;0
"34";"France";2002;79;"Female";0;1;0;0;NA;1;5;"5";4;1;NA;6;NA
"35";"France";2002;35;"Male";1;5;0;0;8;0;5;"5";6;1;9;3;0
"36";"France";2002;32;"Female";0;3;1;0;5;0;9;"7";9;3;1;6;0
"37";"France";2002;55;"Male";1;5;0;0;11;1;8;"9";6;1;7;5;0
"38";"France";2002;60;"Male";1;3;0;0;8;0;1;"5";1;5;4;1;NA
"39";"France";2002;20;"Male";1;2;0;NA;NA;0;1;"10";1;1;6;6;0
"40";"France";2002;61;"Female";0;3;0;1;3;0;6;"4";4;4;9;6;NA
"41";"France";2002;60;"Male";1;3;0;0;7;0;7;"7";6;4;7;5;0
"42";"France";2002;64;"Female";0;NA;0;0;NA;0;1;"1";1;NA;NA;1;NA
"43";"France";2002;34;"Female";0;5;1;0;NA;1;1;"1";1;3;6;3;NA
"44";"France";2002;61;"Male";1;3;0;0;7;0;6;"8";5;1;6;3;0
"45";"France";2002;21;"Male";1;3;1;0;5;1;6;"5";4;2;6;6;NA
"46";"France";2002;24;"Female";0;3;0;0;NA;0;5;"11";8;1;6;6;NA
"47";"France";2002;41;"Male";1;2;0;0;6;1;3;"5";3;2;8;3;0
"48";"France";2002;17;"Male";1;2;0;NA;8;1;4;"9";6;1;10;6;NA
"49";"France";2002;53;"Female";0;1;0;0;6;1;6;"4";5;3;6;4;0
"50";"France";2002;20;"Female";0;3;0;0;NA;1;7;"6";5;2;4;5;NA
"51";"France";2002;41;"Male";1;1;1;0;4;0;1;"1";1;2;3;1;0
"52";"France";2002;26;"Female";0;5;0;0;4;0;5;"7";7;5;5;6;0
"53";"France";2002;61;"Female";0;1;0;0;NA;0;4;"6";3;1;1;2;0
"54";"France";2002;29;"Female";0;5;0;0;8;1;6;"5";5;2;6;5;NA
"55";"France";2002;80;"Female";0;1;0;0;NA;0;6;"5";3;3;8;6;0
"56";"France";2002;68;"Male";1;5;1;0;NA;0;8;"10";6;5;6;6;NA
"57";"France";2002;46;"Female";0;5;0;0;9;0;3;NA;5;3;8;4;0
"58";"France";2002;45;"Female";0;5;0;0;11;0;5;"8";5;4;7;4;0
"59";"France";2002;40;"Female";0;2;0;0;11;1;1;"5";1;3;1;2;NA
"60";"France";2002;41;"Female";0;3;0;0;5;0;8;"8";7;1;9;6;0
"61";"France";2002;73;"Male";1;1;0;1;6;0;1;"1";1;1;2;1;0
"62";"France";2002;40;"Female";0;3;0;0;8;1;4;"4";4;3;6;5;0
"63";"France";2002;74;"Female";0;1;0;0;5;1;5;"6";6;2;9;5;0
"64";"France";2002;67;"Female";0;1;0;1;5;0;6;"7";5;2;5;5;1
"65";"France";2002;31;"Male";1;2;0;1;7;1;7;"5";4;4;6;6;NA
"66";"France";2002;50;"Female";0;2;0;0;4;1;9;"8";6;1;6;7;0
"67";"France";2002;84;"Male";1;5;0;0;9;0;8;"9";6;4;9;6;0
"68";"France";2002;76;"Female";0;1;0;NA;4;0;6;"7";6;3;7;4;0
"69";"France";2002;56;"Male";1;3;0;0;7;1;6;"6";6;1;6;6;NA
"70";"France";2002;62;"Male";1;1;1;0;4;1;1;"1";1;3;6;1;NA
"71";"France";2002;35;"Female";0;2;1;0;4;0;7;"4";5;1;9;3;NA
"72";"France";2002;60;"Male";1;1;1;1;NA;1;6;"4";7;2;6;3;1
"73";"France";2002;73;"Male";1;2;0;0;9;0;9;"7";4;1;11;4;0
"74";"France";2002;56;"Female";0;2;1;0;4;0;4;"4";4;2;9;3;0
"75";"France";2002;57;"Female";0;2;0;0;6;0;8;"8";6;2;3;7;0
"76";"France";2002;33;"Female";0;5;0;0;7;1;6;"6";4;1;6;1;NA
"77";"France";2002;59;"Female";0;1;1;0;12;1;4;"6";5;NA;6;4;0
"78";"France";2002;40;"Male";1;5;1;0;5;0;6;"8";3;1;5;7;0
"79";"France";2002;58;"Male";1;1;0;0;5;1;5;"5";7;2;6;5;NA
"80";"France";2002;15;"Male";1;2;0;NA;4;0;6;"6";4;3;6;3;NA
"81";"France";2002;55;"Female";0;3;1;0;10;1;2;"2";2;1;1;4;0
"82";"France";2002;39;"Female";0;2;1;0;7;0;5;"6";5;2;4;3;0
"83";"France";2002;45;"Male";1;3;1;0;7;0;7;"7";5;2;3;6;0
"84";"France";2002;43;"Female";0;5;0;0;9;0;6;"9";5;2;6;6;NA
"85";"France";2002;27;"Female";0;5;0;0;7;1;6;"5";6;4;8;6;0
"86";"France";2002;51;"Female";0;1;0;0;6;0;3;"3";4;4;6;1;NA
"87";"France";2002;70;"Male";1;2;0;0;6;1;7;"9";7;3;6;7;NA
"88";"France";2002;41;"Female";0;3;0;0;5;0;6;"5";6;1;1;6;0
"89";"France";2002;35;"Female";0;3;1;NA;NA;0;4;"8";5;2;6;3;NA
"90";"France";2002;34;"Female";0;3;1;0;6;0;7;"7";7;5;2;7;0
"91";"France";2002;51;"Female";0;5;1;0;5;1;7;"5";3;4;7;6;0
"92";"France";2002;73;"Male";1;1;0;0;4;0;5;"4";3;3;6;1;NA
"93";"France";2002;65;"Male";1;1;0;1;8;1;8;"9";6;1;7;9;0
"94";"France";2002;41;"Female";0;2;1;0;NA;0;7;"7";8;2;NA;4;NA
"95";"France";2002;39;"Male";1;3;1;0;6;1;2;"4";3;2;3;7;0
"96";"France";2002;19;"Female";0;5;0;NA;8;0;6;"8";7;4;6;5;NA
"97";"France";2002;46;"Female";0;3;1;0;1;1;4;"7";3;1;6;5;0
"98";"France";2002;64;"Female";0;2;0;0;6;0;6;"6";4;3;4;6;NA
"99";"France";2002;51;"Male";1;5;0;0;11;0;5;"4";4;1;3;4;0
"100";"France";2002;56;"Female";0;3;1;0;NA;1;7;"8";6;3;9;2;0
"101";"France";2002;30;"Female";0;3;1;0;5;0;6;"6";3;3;6;4;NA
