"","country","election_year","age","gender","men","education","unemployed","blue_collar","household","rural","gov_perform","diss_dem","diss_econ","democrats","lrself","trust_pol","vote_fn","election"
"1","France",2002,34,"Female",0,3,0,0,6,0,6,9,6,3,6,5,0,"2002"
"4","France",2002,68,"Female",0,1,0,0,4,1,6,8,6,4,8,4,0,"2002"
"5","France",2002,67,"Female",0,2,0,0,6,0,1,6,1,2,1,4,0,"2002"
"6","France",2002,56,"Female",0,3,0,0,9,0,7,7,6,2,2,6,0,"2002"
"9","France",2002,58,"Male",1,5,0,0,9,0,3,6,3,1,3,3,0,"2002"
"15","France",2002,43,"Female",0,3,1,0,5,0,5,1,3,4,6,1,1,"2002"
"16","France",2002,60,"Female",0,5,0,0,6,1,6,11,4,3,6,3,0,"2002"
"19","France",2002,28,"Female",0,5,0,1,5,0,4,10,6,4,5,4,0,"2002"
"20","France",2002,34,"Male",1,3,1,0,6,0,6,8,5,2,8,6,1,"2002"
"21","France",2002,37,"Female",0,2,1,0,8,0,8,10,5,1,5,5,0,"2002"
"25","France",2002,69,"Male",1,1,0,1,7,1,6,11,3,2,4,4,0,"2002"
"29","France",2002,41,"Female",0,3,1,0,7,0,4,6,4,1,5,4,0,"2002"
"33","France",2002,32,"Female",0,5,0,0,9,1,5,10,3,2,9,5,0,"2002"
"35","France",2002,35,"Male",1,5,0,0,8,0,5,7,6,1,9,3,0,"2002"
"36","France",2002,32,"Female",0,3,1,0,5,0,9,9,9,3,1,6,0,"2002"
"37","France",2002,55,"Male",1,5,0,0,11,1,8,11,6,1,7,5,0,"2002"
"41","France",2002,60,"Male",1,3,0,0,7,0,7,9,6,4,7,5,0,"2002"
"44","France",2002,61,"Male",1,3,0,0,7,0,6,10,5,1,6,3,0,"2002"
"47","France",2002,41,"Male",1,2,0,0,6,1,3,7,3,2,8,3,0,"2002"
"49","France",2002,53,"Female",0,1,0,0,6,1,6,6,5,3,6,4,0,"2002"
"51","France",2002,41,"Male",1,1,1,0,4,0,1,1,1,2,3,1,0,"2002"
"52","France",2002,26,"Female",0,5,0,0,4,0,5,9,7,5,5,6,0,"2002"
